Sr No~Title~Author~biblionumber
1~`l' is for lawless~Grafton, Sue~1648
7484~Financial ratios for monitoring corporate sickness~Gupta, L.C.~20617
7485~Financial reform~Gerard Caprio, Jr. and Others Eds.~490
7486~Financial reforms and risk management~Verma, Sawalia Bihari~2765
7487~Financial reporting~Beaver, William~933
7488~Financial reporting in India~Marston, Claire~6576
7489~Financial risk in insurance~Ottaviani, G.Ed.~20886
7490~Financial risk in insurance~Ottaviani, G. Ed.~20887
7491~Financial risk management I~Vivek~21664
7492~Financial risk management in banking~Uyemura, D.G. [Et.al]~5582
7493~Financial risk management with bayesian estimation of garch models~Ardia, David~9763
7494~Financial risk manager handbook~Jorion, Philippe~8507
7495~Financial risk manager handbook~Jorion, Philippe~8508
7496~Financial risk manager handbook, edn.4 (with CD)~Jorion, Philippe~24929
7497~Financial sector reform~Mathieu, Nicolas~2402
7498~Financial sector reforms and india's economic development~Mujumdar, N A~15538
7499~Financial sector reforms in asian and latin american countries~Faruqi, Shakil Ed.~6523
7500~Financial service handbook executive insights and solutions~Frias, Eillen M~7109
7501~Financial services~Rao, P.Mohan~15330
7502~Financial services~Shanmugham, R.~15331
7503~Financial services~Khan, M.Y.~15332
7504~Financial services~Siddaiah, Thummuluri~15333
7505~Financial services - perspectives & challanges~Hayes, S.L. Ed.~13207
7506~Financial services and markets~Pandian, Punithavathy~34131
7507~Financial services and system~Sasidharan, K.~20806
7508~Financial services direct marketing~Martin, Tony~6315
7509~Financial services direct marketing~Martin, Tony~6316
7510~Financial services in India~Kahok, M.A.~886
7511~Financial services in the united kingdom~~6904
7512~Financial services marketing handbook~Ehrlich, Evelyn~10887
7513~Financial services revolution~Kirsch, C.E.~13259
7514~Financial shockओ~Zandi, Mark M.~9512
7515~Financial stability in a changing environment~Sawamoto, K. & Others Eds.~3687
7516~Financial stability report~RBI~21562
7517~Financial stability report~RBI~21563
7518~Financial stability report~RBI~21564
7519~Financial statement analysis~Fridson, M.S.~9240
7520~Financial statement analysis~Gibson, Charles~9241
7521~Financial structure and economic organisation- key elements and pattern in theory and history~Townsend, R.M.~21466
7522~Financial structure of public enterprises~Bhargava, N.K.~11348
7523~Financial system~Narasimhan, M.~2090
7524~Financial system for economic development~Bhatt, R.S.~1520
7525~Financial system of India~Ghonasgi, B. D.~12072
7526~Financial system of India~Gohnasgi, B. D.~12073
7527~Financial terms simplified~Majumdar, Gautam~20661
7528~Financial times guide to marketing from advertising to zen~Ambler, Tim~14920
7529~Financial times guide to using and interpreting company accounts~Mckenzie, W.~11394
7530~Financial times world insurance year book 1995~Larkin, K. Ed.~10852
7531~Financial underwriting~Munich Reinsurance Co.~14286
7532~Financing agriculture~~33613
7533~Financing and risk management~Brealey, Richard~8133
7534~Financing growth~Pritchett, S.T~6058
7535~Financing micro health insurance~Dror, David Mark~10812
7536~Financing of agri-business~Shete, N.B.~12272
7537~Financing social security~International of Labour Organisation~16077
7538~Financing the transition to multipillar (sp discussion paper no.9809)~Holzmann, Robert~20659
7539~Finapolis ~~33573
7540~Finding and keeping the right people~Billsberry, Jon~14880
7541~Finding fertile ground~Shane, Scott A.~1444
7542~Finding fertile ground: identifying extraordinary opportunities for new ventures (with CD-ROM), edn.1~Shane, Scott A.~24231
7543~Finding happiness in a changed world moving on~Perrin, Stuart~22077
7544~Finding out fast~Thomas, A. and Others Eds.~12855
7545~Finding the fountain of youth inside yourself~Helmstetter, Shad~16558
7546~Fine art of small  talk : how to start a conversation, keep it going, build networking skills and leave a positive impression!~Fine, Debra~32894
7547~Fine family~Das, Gurchar~20547
7548~Fine things~Steel, Daniel~13204
7549~Fingerprints of the gods~Hancock, G.~6450
7550~Finite risk reinsurance and risk transfer to the capital markets - a complement to traditional reinsurance~Munich Re Group~4089
7551~Fire and accident proporational treaty reinsurance~Insurance Institute of London~3595
7552~Fire and automobile insurance in japan~Koike, T.~9624
7553~Fire and consequential loss insurance - 57 (preparatory questions and answers for associate examination of the insurance~Sri Ram and Co.~8941
7554~Fire and motor insurance~Ivamy, E.R.Hardy~1503
7555~Fire at unifero works~UNIFERO~24358
7556~Fire claims data analysis~Roy, Y.~5894
7557~Fire games~LPA~23716
7558~Fire hazards in the petrochemical industry ~Reutersberg, Heinz~4600
7559~Fire hazards of specific industries~FII~2972
7560~Fire hazards of specific industries~FII~2973
7561~Fire ice~Cussler, Clive~461
7562~Fire in the mind - dialogues with j krishnamurti~Jaykar, Pupul~3657
7563~Fire insurance~Gopalan, M.B.~3346
7564~Fire insurance (fi 10)~FII~22386
7565~Fire insurance claims~FII~1161
7566~Fire insurance claims~FII~1162
7567~Fire insurance claims~Federation of Insurance Institute~1163
7568~Fire insurance claims - 56 (preparatory questions and answers for associate examination of the insurance institute of India)~Sri Ram and Co.~8987
7569~Fire insurance claims (56)~Sri Ram and Co.~20606
7570~Fire insurance law & claims~Perverett, E.J.D.~4747
7571~Fire insurance law & claims~Peverete, E.J.D.~4748
7572~Fire insurance law and claims~Walmsley, R.M.~6410
7573~Fire insurance risks and claims~Oakes, A.J.~20678
7574~Fire insurance theory and practice~Smith, T.R.~663
7575~Fire insurance theory and practice~Smith, T. R.~664
7576~Fire insurance underwriting - 54 (preparatory questions and answers for associate examination of the insurance institute~Sri Ram and Co.~12693
7577~Fire investigation~Dennett, Michael~3189
7578~Fire of the future~Swiss Re~9344
7579~Fire on the mountain~Desai, Anita~13795
7580~Fire policy drafting~FII~18487
7581~Fire policy drafting (54)~Sri Ram and Co.~16084
7582~Fire prevention and control~LPA~24173
7583~Fire prevention and control (21 min.) and 2. Preventing fires in textile industry (20min.)~LPA~23822
7584~Fire prevention in power plants~Munich Re~24045
7585~Fire prevention in power plants, Principles of reinsurance~~24074
7586~Fire safety and loss prevention~Cassidy. K.A.~7331
7587~Fire safety engineering design of structures~Purkiss, J.A.~3786
7588~Firing on all cylinders - the service/quality system~Clemmer, Jim [Et.al]~11035
7589~Firm the market and the law~Coase, R H~1093
7590~Firo~Schutz, Will~14169
7591~First 24 hours~Berge, Ten~16277
7592~First 90 days~Watkins, Michael D.~13971
7593~First aid for burns~LPA~25586
7594~First aid manual~Dunne, Jemima~18139
7595~First among equals~Archer, Jeffrey~21183
7596~First among equals~Mckenna, Patrick J.~21184
7597~First book of c~Bronson, G.J. [Et.al]~16535
7598~First book of common-sense management~Tracy, Diane~21789
7599~First book of wordperfect 51~Barn, Q. [Et.al]~3879
7600~First citizen's report 1982~CSE~21676
7601~First course in cost and management accounting~Lucey, T.~15242
7602~First course in functional analysis~Goffman, Casper [Et.al]~20004
7603~First course in probability~Ross, S.~20266
7604~First course in probability~Ross, Sheldon~20267
7605~First date stories~Kaushik, Smita (Ed.)~19962
7606~First Dictionary~Crawley, Angela~24909
7607~First direction yoga~Isaacson, Cheryl~10623
7608~First English Grammar~Mew, Yh & Seaton, Anne~24349
7609~First fifty years~CPCU~7361
7610~First global revolution~King, A. [Et.al]~6759
7611~First handbook of psychological and social instruments~Pareek, Udai~18469
7612~First light~Preston, Richard~4677
7613~First light~Gangopadhyay, S.~4678
7614~First mile~Anthony, Scott D.~14567
7615~First minute: how to start conversations that get results~Fenning, Chris~32891
7616~First of everything~Vittachi, Nury~16120
7617~First person~Teal, Thomas Ed.~16844
7618~First principles of macro-monetary theory~Kulkarni, Kishore~20568
7619~First principles of monetary theory~Kulkarni, Kishore~2586
7620~First step to oracle~Srikanth, M.V.~2222
7621~First things first~Covey, Stephen R. and Others~7383
7622~First, break all the rules~Buckingham, Marcus~18344
7623~Fiscal and monetary policy~Mayer T. [Et.al]~1891
7624~Fiscal and monetary policy~Mayer, T. [Et.al]~1892
7625~Fiscal deficit and inflation in India~Raravikar, Ashutosh~264
7626~Fiscal federalism in India~Rao, M. Govinda [Et.al]~17006
7627~Fiscal management in adjustment lending~Datta-Mitra, J.~15400
7628~Fischer black and the revolutionary idea of finance~Mehrling, Perry~8152
7629~Fish~Lundin, Stephen C.~12263
7630~Fish and Ring: An English Traditional~~23748
7631~Fish farming of South East Asia~S.E.A.F.D.~23203
7632~Fish sticks~Lundin, Stephen C.~1344
7633~Fish tales~Lundin, Stephen C.~15171
7634~Fisheries development in India~Ibrahim, P.~17010
7635~Fishery sector of India~Srivastava, U.K.~9369
7636~Fist of god~Forsyth, Ferderick~18206
7637~Fistful of mustard seeds~Santosh Kumar, E.~17811
7638~Fit for life~Diamond, Harvey~16300
7639~Fit to bust~Phillips, Tim~10615
7640~Five great economist~Ghosh, B N~7138
7641~Five great economist~Ghosh, B N~7139
7642~Five great economist~Ghosh, B N~7140
7643~Five great economist~Ghosh, B N~7141
7644~Five great economist~Ghosh, B N~7142
7645~Five levels of leadership~Maxwell, John C.~18975
7646~Five little pigs~Christie, Agatha~19907
7647~Five pillars of TQM~Creech, Bill~20325
7648~Five point someone~Bhagat, Chetan~3160
7649~Five regions of the future~Barker, Joel A.~18074
7650~Five secrets you must discover before you die~Izzo, John~4440
7651~Five sisters: a fairy tale from Uzbekistan~Thomas, Vernon~23528
7652~Five temptations of a ceo~Lencioni, Patrick~1158
7653~Five year plans of India~Sury, M. M~14030
7654~Five years after rio~World Bank~5618
7655~Fix your own pc~Sanders, Corey~13616
7656~Fix your own PC, edn.8 (with CD)~Sanders, Corey~25707
7657~Fixed income analytics~Garbade, K.D.~19269
7658~Fixed income arbitage~Wong, M.A. [Et.al]~21827
7659~Fixed income markets and their derivatives~Sundaresan, Suresh M.~16664
7660~Fixed income mathematics - analytical and statistical techniques~Fabozzi, Frank J.~11954
7661~Fixed income securities ~Tuckman, Bruce.~6415
7662~Fixed point theorems with applications to economics and game theory~Border, Kim C.~22097
7663~Fixing financial crises in the twenty-first century~Haldane, Andrew G.~21476
7664~Fizz~Wright, Ted~138
7665~Flash MX [August 2002]~PC Quest~25041
7666~Flash MX 2004 (Interactive CD-ROM)~Pebbles~23826
7667~Flashback~United India Insurance Co.~15615
7668~Flat for rent~Goldberg, Leah~25169
7669~Flavour of the month~Goldsmith, Olivia~20873
7670~Flawed advice and the management trap~Argyris, C.~15160
7671~Fleets and commercial vehicles, issue no32, august 1985~~20666
7672~Flexible strategic management~Genus, Audley~6929
7673~Flexible working hours~Allenspach, H.~11071
7674~Flight of eagles~Higgins, Jack~3167
7675~Flight plan~Tracy, Brian~19178
7676~Flight without formulae~Kermode, A.C.~13337
7677~Flood devastation agricultural development in eastern India ~Verma, Binoy N. Ed.~5472
7678~Flooding and insurance~Munich Re~16031
7679~Flora 2: CD28~~25670
7680~Floral 1: CD27~~24871
7681~Florence Nightingale~Brown Pam~23873
7682~Floriculture~Dole, John M.~13912
7683~Floriculture~Prakash, J. [Et.al]~13913
7684~Floriculture and landscaping~Bose, T.K.~13989
7685~Floriston bangala फ ल रिस ट न बंगला आव त ती १~Malagi, Narsinha~9368
7686~Flow of funds accounts of the indian economy 2001-02 to 2007-08~RBI~15035
7687~Flowers of sahyadri~Ingalhalikar, Shrikant~7580
7688~Fly on the cart wheel~Suri, Bhupendra~14783
7689~Focus~Palladino, Connie~21394
7690~Focus~Palladino, Connie~21395
7691~Focus on the future~CPCU~20908
7692~Focus on the future~Society of CPCU~20909
7693~Focus the hidden driver of excellence~Goleman, Daniel~14173
7694~Focused Approach Towards Excellence the Messsenger of Change True Spirit of Leadership~Raju, B.R.~24051
7695~Folk tales from Gujarat~Bhatt, R. M.~22610
7696~Folk tales from Kerala~Menon, I. K.K.~22510
7697~Folk tales from Nepal~Diwasa, Tulasi~25660
7698~Folk Tales of Indonesia~Soebiantoro.A and Ratnatunga M.~23095
7699~Folk Tales of Liberia~Gale,Steven H.~22623
7700~Folk Tales of Tibet~O'Corner,W.F~25494
7701~Follow your heart~Mathews, A.~2977
7702~Follywood flashback ~Reuben, B.~4684
7703~Fontana history of the human sciences~Smith, Roger~18486
7704~Food & poverty~Etienne, Gilbert~3676
7705~Food and drink CD35~~23919
7706~Food and drinks: CD 49~~25475
7707~Food background: CD 43~~24818
7708~Food economics ~Hansen, Henning Otte~14131
7709~Food for health~Dewan, A.P.~7534
7710~Food inundation~Munich Re~12554
7711~Foods that heal~Bakhru, H.K.~5552
7712~Fooled by randomness ~Taleb Nassim Nicholas~11266
7713~Foolish King: A Norwegian Traditional~~23220
7714~Fools work hard~Ravindra, Potharaju~1848
7715~For all practical purposes~Comap Inc.~13236
7716~For god, country and coca-cola~Pendergrast, M.~10771
7717~For god's sake~Parameswaran, Ambi~20694
7718~For positivist organization theory~Donaldson, Lex~19943
7719~For we are~King, Mark~15662
7720~For webe~Turner, Bryan~18318
7721~Forbes India       ~Joshi, Rahul~33699
7722~Forbes India (LOLB)~~34140
7723~Force 10 from navarone~Macclean Alistair~3913
7724~Forced ranking~Grote, Dick~9347
7725~Ford~Lacey, Robert~17838
7726~Forecasting~Harvard Business Review~15578
7727~Forecasting~Bowers, David A.~15579
7728~Forecasting~Makridakis, S. and Others~15580
7729~Forecasting and market analysis techniques - a practical approach~Kress, G.J. [Et.al]~15371
7730~Forecasting and time series analysis~Montgomery, D.C. and Others~20020
7731~Forecasting company profits~Wellings, F.~1433
7732~Forecasting financial and economic cycles~Niemira, M.P. [Et.al]~14293
7733~Forecasting in banking industry~Vande, Varsha~12699
7734~Forecasting methods for management~Wheelwright, Steven [Et.al]~2782
7735~Forecasting planning and strateg for the 21st century~Makridakis, Spyros~10355
7736~Forecasting your company's sales and profits~Marino, Kenneth~15157
7737~Foreign aid and trade in new economic order~Shukla, P.R.~13139
7738~Foreign direct investment and development~Moran, T.H.~6701
7739~Foreign direct investment and governments~Dunning, John H. [Et.al]~16427
7740~Foreign exchange~Balachandran, P.~597
7741~Foreign exchange and exchange control ~Keshkamat, V.V.~715
7742~Foreign exchange handbook ~Bharadwaj, H.P.~19117
7743~Foreign exchange handbook~Bishop, Paul~19118
7744~Foreign exchange international finance & risk management~Rajwade, A.V.~13112
7745~Foreign exchange international finance & risk management~Rajwade, A.V.~13113
7746~Foreign exchange management manual~Taxmann~10849
7747~Foreign exchange management manual: an authorised publication of Reserve Bank of India (with CD[FEMA].Also containing ready to file filled in forms~Taxmann~23012
7748~Foreign exchange manual~Nabhi~17150
7749~Foreign exchange regulation act 1973~Delhi Law House~3549
7750~Foreign exchange regulation act, 1973 as amended by act no 29 of 1993 with foreign exchange regulation rules, 1974~~16352
7751~Foreign exchange regulation act, 1973 roy~~14402
7752~Foreign exchange risk management~Jain, Nidhi~8209
